pump_outlet_Pa,expander_outlet_Pa,expander_eff,heater_outlet_K,net_kW,thermal_eff,Q_in_kW,cost_proxy
3051837.206236278,500000.0568527858,0.8999999974269921,424.7573249806325,142.48048243094075,0.14248048243094075,1000.0,411.4113103098025
3053226.025836118,500075.0431904795,0.8999955144693362,423.7816480200762,142.50929630868197,0.14250929630868198,1000.0,411.6662132089701
3087912.5438073105,500000.0012199794,0.8999999999205318,427.79139160356675,143.04474850462785,0.14304474850462784,1000.0,418.05611635561223
3098114.496921224,500000.0568527858,0.8999696115898893,425.06941782944966,143.26569526390958,0.1432656952639096,1000.0,419.95304969021674
3123173.916709268,500000.8105707581,0.8999999995917947,425.03465978225205,143.69101975685848,0.14369101975685847,1000.0,424.62645946937795
3128733.0923547884,500000.00139297376,0.8999954342514318,425.8532634297186,143.77477180779815,0.14377477180779816,1000.0,425.66967078570684
3155033.217096703,500211.23477994464,0.8999999988736541,429.98311609753114,144.1138584241643,0.1441138584241643,1000.0,430.6270381646687
3162304.5795813273,500010.6931988501,0.8999966967573954,428.36432019465815,144.29445413896178,0.14429445413896178,1000.0,432.0055040103436
3179966.542645263,500000.05436807877,0.8999997588755133,428.89537090901723,144.57834318435334,0.14457834318435334,1000.0,435.3656453052365
3211804.2504727566,500004.5118948028,0.8999999999351435,430.55918061031394,145.0663060480854,0.1450663060480854,1000.0,441.47059630842875
3229862.6656648046,500004.4852466225,0.8999999977092443,429.87438087786256,145.37100129648584,0.14537100129648584,1000.0,444.96038544655147
3262765.7862691027,500000.2078423065,0.899999999943345,430.9451023695249,145.8772141523066,0.14587721415230662,1000.0,451.36921728824564
3290098.9347736095,500000.0062125549,0.899999997624799,433.3862712215776,146.2596568749739,0.1462596568749739,1000.0,456.74253030297734
3309502.3378075804,500000.0149014953,0.8999999999944911,433.1667700502832,146.56885282928238,0.14656885282928236,1000.0,460.58417171927624
3332141.713693465,500029.52909031307,0.8999999999875216,435.3676798424235,146.86606029584175,0.14686606029584176,1000.0,465.09505200557817
3360728.1803882355,500000.0604126007,0.899999999982755,438.8559619380399,147.2051113731127,0.14720511137311268,1000.0,470.834817075738
3365363.9686872317,500000.04631458694,0.8999999999938993,435.4803577057575,147.37944011521776,0.14737944011521775,1000.0,471.77023925288034
