boiler_Pa,condenser_Pa,expander_eff,boiler_outlet_K,Q_in_kW,W_pump_kW,W_exp_kW,Q_out_kW,net_kW,thermal_eff,bal_kW
800000.0,8000.0,0.7,493.15,2710.0659677397816,0.9982266425536364,505.99591392953926,2205.0682804527964,504.99768728698564,0.18634147408159146,-4.547473508864641e-13
800000.0,8000.0,0.7,533.15,2797.077146155427,0.9982266425536364,529.5278759105993,2268.5474968873814,528.5296492680457,0.1889578376465261,-4.547473508864641e-13
800000.0,8000.0,0.7,573.15,2882.024056559124,0.9982266425536364,555.1477349413806,2327.874548260297,554.149508298827,0.19227789130963444,-4.547473508864641e-13
800000.0,8000.0,0.7,613.15,2966.286801885229,0.9982266425536364,582.8289900100143,2384.4560385177683,581.8307633674607,0.1961478448401136,0.0
800000.0,8000.0,0.7,653.15,3050.547180601957,0.9982266425536364,612.4892848683446,2439.0561223761656,611.491058225791,0.2004529096006727,4.547473508864641e-13
800000.0,8000.0,0.7,693.15,3135.1825583428226,0.9982266425536364,644.0332124277708,2492.1475725576056,643.0349857852171,0.20510288438358404,0.0
800000.0,8000.0,0.7,733.15,3220.4218899170746,0.9982266425536364,677.3680982606486,2544.05201829898,676.369871618095,0.2100252372944563,-4.547473508864641e-13
800000.0,8000.0,0.7,773.15,3306.4145992379545,0.9982266425536364,712.4092873490699,2595.003538531438,711.4110607065163,0.2151608757324259,0.0
800000.0,8000.0,0.7,813.15,3393.263621831978,0.9982266425536364,749.0811932146619,2645.18065525987,748.0829665721083,0.22046119899409058,0.0
800000.0,8000.0,0.75,453.15,2617.5992991071735,0.9982266425536364,518.9665222083507,2099.6310035413762,517.9682955657971,0.19787913900438042,0.0
800000.0,8000.0,0.75,493.15,2710.0659677397816,0.9982266425536364,542.1384792102208,2168.925715172115,541.1402525676672,0.19967788939801448,-4.547473508864641e-13
800000.0,8000.0,0.75,533.15,2797.077146155427,0.9982266425536364,567.3512956184992,2230.7240771794814,566.3530689759456,0.20248031762527394,0.0
800000.0,8000.0,0.75,573.15,2882.024056559124,0.9982266425536364,594.8011445800504,2288.2211386216272,593.8029179374968,0.20603676662104053,0.0
800000.0,8000.0,0.75,613.15,2966.286801885229,0.9982266425536364,624.459632153587,2342.825396374196,623.4614055110334,0.21018244261303098,0.0
800000.0,8000.0,0.75,653.15,3050.547180601957,0.9982266425536364,656.2385195017979,2395.3068877427127,655.2402928592443,0.21479434805199352,0.0
800000.0,8000.0,0.75,693.15,3135.1825583428226,0.9982266425536364,690.03558474404,2446.1452002413366,689.0373581014863,0.21977583291535466,-4.547473508864641e-13
800000.0,8000.0,0.75,733.15,3220.4218899170746,0.9982266425536364,725.751533850695,2495.668582708933,724.7533072081413,0.22504918050560252,0.0
800000.0,8000.0,0.75,773.15,3306.4145992379545,0.9982266425536364,763.2956650168607,2544.1171608636473,762.297438374307,0.2305510744327095,0.0
800000.0,8000.0,0.75,813.15,3393.263621831978,0.9982266425536364,802.5869927299949,2591.674855744537,801.5887660874413,0.2362294402739844,-4.547473508864641e-13
800000.0,8000.0,0.8,453.15,2617.5992991071735,0.9982266425536364,553.5642903555744,2065.0332353941526,552.5660637130208,0.21109650506916522,0.0
800000.0,8000.0,0.8,493.15,2710.0659677397816,0.9982266425536364,578.2810444909022,2132.7831498914334,577.2828178483486,0.21301430471443744,-4.547473508864641e-13
800000.0,8000.0,0.8,533.15,2797.077146155427,0.9982266425536364,605.1747153263991,2192.9006574715813,604.1764886838455,0.21600279760402177,0.0
800000.0,8000.0,0.8,573.15,2882.024056559124,0.9982266425536364,634.4545542187207,2248.5677289829573,633.456327576167,0.21979564193244683,-4.547473508864641e-13
800000.0,8000.0,0.8,613.15,2966.286801885229,0.9982266425536364,666.0902742971597,2301.194754230623,665.0920476546061,0.22421704038594836,0.0
800000.0,8000.0,0.8,653.15,3050.547180601957,0.9982266425536364,699.9877541352511,2351.5576531092593,698.9895274926974,0.22913578650331434,0.0
800000.0,8000.0,0.8,693.15,3135.1825583428226,0.9982266425536364,736.0379570603092,2400.142827925067,735.0397304177555,0.23444878144712528,0.0
800000.0,8000.0,0.8,733.15,3220.4218899170746,0.9982266425536364,774.1349694407414,2447.285147118887,773.1367427981878,0.2400731237167488,0.0
800000.0,8000.0,0.8,773.15,3306.4145992379545,0.9982266425536364,814.1820426846515,2493.2307831958565,813.1838160420979,0.24594127313299316,0.0
800000.0,8000.0,0.8,813.15,3393.263621831978,0.9982266425536364,856.0927922453279,2538.1690562292038,855.0945656027743,0.25199768155387825,0.0
800000.0,8000.0,0.85,453.15,2617.5992991071735,0.9982266425536364,588.162058502798,2030.435467246929,587.1638318602444,0.22431387113395002,0.0
800000.0,8000.0,0.85,493.15,2710.0659677397816,0.9982266425536364,614.4236097715836,2096.6405846107514,613.42538312903,0.22635072003086038,4.547473508864641e-13
800000.0,8000.0,0.85,533.15,2797.077146155427,0.9982266425536364,642.998135034299,2155.0772377636813,641.9999083917454,0.2295252775827696,0.0
800000.0,8000.0,0.85,573.15,2882.024056559124,0.9982266425536364,674.1079638573909,2208.914319344287,673.1097372148373,0.2335545172438531,-4.547473508864641e-13
800000.0,8000.0,0.85,613.15,2966.286801885229,0.9982266425536364,707.7209164407318,2259.564112087051,706.7226897981782,0.23825163815886558,0.0
